kriol_phrase,symptom
"sik la chest","chest pain"
"bin cough","cough"
"breath hard","shortness of breath"
"thirsti","excessive thirst"
"tiyad","fatigue"
"pee plenti","frequent urination"
"swel leg","leg swelling"
"head hot","fever"
"skin itchy","itchy skin"
"sore la bak","back pain"
"bel hot","stomach pain"
"bel sore","stomach pain"
"nose run","runny nose"
"throat hot","sore throat"
"head spin","dizziness"
"no can sleep","insomnia"
"body weak","weakness"
"ear sore","ear pain"
"eye red","eye infection"
