symptom,disease,weight
fever,Flu,0.7
cough,Flu,0.6
sore_throat,Flu,0.6
fatigue,Flu,0.6
runny_nose,Flu,0.5
headache,Flu,0.5
chills,Flu,0.6
cough,Common cold,0.6
runny_nose,Common cold,0.7
sneezing,Common cold,0.6
sore_throat,Common cold,0.5
headache,Common cold,0.4
fever,Common cold,0.3
fever,COVID-19,0.7
cough,COVID-19,0.7
shortness_of_breath,COVID-19,0.6
fatigue,COVID-19,0.6
loss_of_appetite,COVID-19,0.4
headache,COVID-19,0.5
sore_throat,COVID-19,0.5
fever,Pneumonia,0.7
shortness_of_breath,Pneumonia,0.7
chest_pain,Pneumonia,0.6
chills,Pneumonia,0.5
shortness_of_breath,Asthma,0.8
cough,Asthma,0.6
chest_pain,Asthma,0.4
shortness_of_breath,COPD,0.7
cough,COPD,0.6
chest_pain,COPD,0.4
fatigue,COPD,0.5
diarrhea,Gastroenteritis,0.7
vomiting,Gastroenteritis,0.7
abdominal_cramps,Gastroenteritis,0.7
nausea,Gastroenteritis,0.6
fever,Gastroenteritis,0.4
loss_of_appetite,Gastroenteritis,0.5
vomiting,Food poisoning,0.7
diarrhea,Food poisoning,0.7
abdominal_cramps,Food poisoning,0.7
nausea,Food poisoning,0.6
fever,Food poisoning,0.5
burning_urination,UTI,0.8
fever,UTI,0.4
loss_of_appetite,UTI,0.3
fatigue,Kidney disease,0.5
leg_swelling,Kidney disease,0.6
shortness_of_breath,Kidney disease,0.4
chest_pain,Heart disease,0.8
shortness_of_breath,Heart disease,0.7
fatigue,Heart disease,0.5
sweating,Heart disease,0.5
headache,Hypertension,0.5
dizziness,Hypertension,0.5
shortness_of_breath,Hypertension,0.4
shortness_of_breath,Anxiety disorder,0.4
dizziness,Anxiety disorder,0.5
sweating,Anxiety disorder,0.5
chest_pain,Anxiety disorder,0.3
headache,Stress disorder,0.5
fatigue,Stress disorder,0.5
headache,Migraine,0.8
nausea,Migraine,0.5
vomiting,Migraine,0.4
eye_redness,Conjunctivitis,0.7
eye_pain,Conjunctivitis,0.6
blurry_vision,Conjunctivitis,0.4
ear_pain,Otitis externa,0.8
ear_discharge,Otitis externa,0.6
fever,Otitis externa,0.3
joint_pain,Arthritis,0.8
back_pain,Arthritis,0.4
swollen_glands,Arthritis,0.3
hoarse_voice,Laryngitis,0.8
sore_throat,Laryngitis,0.6
cough,Laryngitis,0.4
fever,Meningitis,0.7
headache,Meningitis,0.7
neck_stiffness,Meningitis,0.8
vomiting,Meningitis,0.5
rash,Meningitis,0.4
swollen_glands,Common cold,0.41
heartburn,UTI,0.47
loss_of_balance,Heart disease,0.49
swollen_glands,Migraine,0.33
abdominal_cramps,Otitis externa,0.39
neck_stiffness,Pneumonia,0.46
eye_redness,UTI,0.41
headache,Kidney disease,0.44
sore_throat,Arthritis,0.51
sweating,COPD,0.49
back_pain,Migraine,0.54
lower_back_pain,UTI,0.49
runny_nose,Conjunctivitis,0.42
cough,Kidney disease,0.34
constipation,Migraine,0.49
numbness,Food poisoning,0.38
joint_pain,Laryngitis,0.42
nausea,Stress disorder,0.36
constipation,Hypertension,0.41
eye_redness,Pneumonia,0.48
chills,Common cold,0.51
hoarse_voice,UTI,0.4
diarrhea,Arthritis,0.47
fatigue,Anxiety disorder,0.35
swollen_glands,Conjunctivitis,0.47
sneezing,Kidney disease,0.5
abdominal_cramps,Hypertension,0.44
constipation,UTI,0.42
ear_pain,Arthritis,0.49
sweating,Hypertension,0.44
ear_pain,Common cold,0.38
cough,Anxiety disorder,0.41
