meaning	kriol	english_gloss
19637792	Triniti	movie type
19637560	kipamap	maintain standard
27961335	olgamen	adult female human being
19636090	weist	expend unprofitably
19639510	weist	spill accidentally
27858783	biliken	lightweight pot
27880399	drangkinmen	habitual drinker
27881193	bogibain	any of the four species of small spined monotremes
27882353	emiyu	A large flightless bird, ''Dromaius novaehollandiae''
27913699	motha	female (human) who parents a child, gives birth to a baby, or is pregnant
27922353	baligan	any of various seabirds of the family Pelecanidae
27941819	jinek	legless reptile
19639275	Balang	skin group
19639731	Balang	male sub-section
19639276	Bangardi	skin group
19639732	Bangardi	male sub-section
19639277	Bangarn	skin group
19639722	Bangarn	female sub-section
19639280	Bulain	skin group
19639733	Bulain	male sub-section
19639281	Bulainjan	skin group
19639725	Bulainjan	female sub-section
19639282	Galijan	skin group
19639726	Galijan	female sub-section
19639283	Gamain	skin group
19639727	Gamain	female sub-section
19639284	Gamarrang	skin group
19639734	Gamarrang	male sub-section
19639285	Gela	skin group
19639735	Gela	male sub-section
19639286	Gojan	skin group
19639728	Gojan	female sub-section
19639287	Gojok	skin group
19639736	Gojok	male sub-section
19639288	Ngarrij	skin group
19639737	Ngarrij	male sub-section
19637243	Nyuginiwed	Kriol word
19634546	Oma	Arab (in long robes)
37561279	Seitin	Satan or ghost
19639290	Wamut	skin group
19639738	Wamut	male sub-section
19639291	Wamutjan	skin group
19639730	Wamutjan	female sub-section
19640804	Yulngumatha	Yolngumatha
37562610	ailibala	first sun
19635132	ampiwan	bumpy thing
37563310	anginap	to be caught
19639749	anowat	suggestion from speaker
19638920	babolo	sand lion
19638921	badibadi	sand lion
19635118	bafulohol	buffalo hole
19634962	bagkinu	bark boat
19636285	baibul brim	Norman River grunter
19636285	baibul brim	Norman River grunter (fish species)
37561556	baibul brim	piebald bream
37564183	baibul brim	black or piebald
19639387	baibul sineik	rock snake (snake species)
19634984	baibulbuk	Bible book
19639384	bailsineik	file snake (snake species)
37562170	bak	bark (dog)
19636960	bakjamba	bucking horse
37561836	balgin	bitter (taste)
37561836	balgin	dangerous or savage (of animals and crocodiles)
37561836	balgin	dangerous or savage
37561836	balgin	brackish (water)
19639888	balginti	unsweetened tea
19634864	baligin	pelican (bird species)
19635776	bambu	didjeridoo
19638315	bambu	tree (bamboo plant species)
37561239	bambu	didjeridu
19635777	bambumen	didjeridoo player
19638296	bandamis	pandanus palm (plant species)
19639386	bandiyan	snake species: king brown, python, taipan
37561061	bandiyan	bigger head python
37561061	bandiyan	poisonous; taipan
37562253	bandiyan	snake : King brown
37563173	bandiyan	bigger head python (poisonous)
19636104	bangai	infected eye
19638121	banigin	panikin
37561503	banji	wife’s sister?
37563433	banji	sister-in-law (wife’s sister)
37563818	banjim	punch (with fist)
19638252	banksia	banksia (plant species)
19635136	banyip	bunyip
19634790	bardigindak	Burdekin duck (bird species)
37562591	bardigindak	Burdekin
19634830	bawabe:d	great bower bird (bird species)
27943355	barragarl	long stick with a sharp tip
19636264	barramandi	barramundi (fish species)
19634785	barrolga	brolga (bird species)
37563043	basdam	long time (ago)
37562674	baskit	cooliman made from paperbark
37563322	bastim	snap something
37563322	bastim	break by pulling
19636352	bastimap klaud	fly in aeroplane
19640366	bastindap	made useless
19638267	batju	bush potato
19638267	batju	bush potato (plant species)
19640205	bayastik tri	(Clerendendrum cunninghami?) used for making fire sticks. (tree species)
37562899	be:d	bird (generic)
37564280	be:d	Masked Plover
19640219	bebak	paperbark (tree species)
27859074	bed	animal
37561167	bed	antlion’s pit
37562762	bed	nest of bird
37562101	bedkol	nasal snot
37562173	bedkol	cold in the head
37562559	bedkol	snot mucus
19636332	beingk	of river flood
19636333	beingkap	of river flood
19636331	beingkimap	cause to flood
19634653	beingksaid	bank (of a river)
37562052	bekbon	back (of body)
37562078	bekpat	hollow at back or base of skull
37562579	bekpat	hollow at back at base of skull
19634661	bektais	get baptised
19638746	bekweds	in reverse direction
19640206	beldri	corkwood (tree species)
19639278	beleinjan	skin group
19639723	beleinjan	female sub-section
37561642	beli	outside of stomach
37564217	beli	stomach (outside)
19639279	beling	skin group
19639724	beling	female sub-section
19638776	belring	of bell ring
19634449	bendigut	bandicoot (animal species)
27856434	bendigut	small marsupial
19634652	bengk	bank for money
