kriol	english
%baidibaidi	louse
%bamaragoC	stone
%biNga	hand
%bij	fish
%dot	louse
%iriwol	ear
%wanbala	one
-abat	about
-am	him
-an	on
-ap	toward
-aran	around
-at	attain
-awei	away
-baga	bugger
-bala	fellow
-bat	about
-bek	back
-dan	cease
-em	him
-gija	each other
-i	him
-im	him
-in	in
-is	very
-it	it
-labat	about
-oba	over
-of	off
-on	on
-op	off
-pat	part
-ran	around
-taim	during
-um	him
-wan	one
-wei	away
5-6-bala	wire
5u	new
Alawa	Alawa
Debi	derby
Disemba	December
Eiprul	April
En	hand
Eram	hear
Ereb	Arab
Februweri	February
Fitrai	fitzroy
Fraidei	Friday
God	God
Gotjan	subsection
Gotjjan	subsection
Holden	holden
Honda	motorbike
Indien	Indian
Inglis	English
Intan	American Indian
Ista	Easter
Ista eig	Easter egg
Itang	American Indian
Jedidi	Saturday
Jenyuweri	January
Julai	July
Jun	June
Krismas	Christmas
Krismastaim	Christmas
Kristjan	Christian
Kristjanmob	Christians
Lenroba	landrover
Mandei	Monday
Mara	Mara
Marinbala	Mara
Matj	march
Mei	May
Meriken	American
Ngabu	god
Nigro	Negro
Nobemba	November
None	nine
Noth	north
Nyubrij	Newbridge
Ogis	August
Oktoba	October
Oma	Arab
Redai	redeye
Redres Gel	devil
Romanoj	Roman nose
Sadadei	Saturday
Sandei	Sunday
Satadei	Saturday
Sebin Sista	Pleiades
Seitin	Satan
Senta Klos	Santa Claus
Septemba	September
Tasen	Tarzan
Thesdei	Thursday
Tyusdei	Tuesday
Wensdei	Wednesday
Yanyuwa	Yanyuwa
Yulngumatha	language name
\lil sista	younger sister
a	a
abat	about
abdajat	after that
abdum	chase
abija	father’s mother
abset	be anxious
abuji	mother’s father
abum	birth
abum blandi	have
abum fan	fun
abum set	bear a grudge
abum sowa oloba	lame
abum spel	rest
abwei	part of
ad	hard
adbala	strongly
adli	hardly
adrok	rock
adtaim	hard time
afta	after
agumen	argue
agyumen	argue
ai	I
aibis	ibis
aibrau	eyebrow
aidiya	idea
ailan	island
ailibala	early
aionwud	ironwood
aipat	eyebrow
airrap	higher up
aiyan	iron
aiyanwan	iron
ajad	outside
akros	across
album	help
aleiluya	hallelujah
alibala	early
alidei	holiday
aligeda	crocodile
aligeida	alligator
alo	hello
alolog	hollow log
alta	money
am	arm
ambag	be cheeky
amben	armband
ami	army
ampit	armpit
andanit	under
andanith	under
andimwe	chase
anding	hunt
andrid	hundred
anga	goodness
anginap	above
angindan	runny nose
angkul	mother’s brother
ani	honey
anli lilbit	one
anloudim	unload
antap	be on top
anti	aunt
anyan	onion
ap	up
apset	be upset
apstes	upstairs
araun	around
ard	hard
ardim	hurt
ardim jowa	chafe
ariap	hurry
arinj	orange
as	us
asbin	husband
asbin en waib	married couple
asbin o waif	spouse
ashis	ashes
askim	ask
athasaid	other side
atjamp	be frightened
atsaid	outside
audim	out
audim faiya	put out fire
av	about
awa	hour
awus	building
ba	about
baba	baby
babard	bird species
babbab	puppy
babim	pop
babolo	buffalo
babul	bubble
babulap	bubble up
babulgam	bubble gum
bad	banned
bada	butter
badadimap	ruin
badaflai	butterfly
badik	paddock
badlim	paddle
badlingbot	paddle steamer
bafalo	buffalo
bagadap	broken
bagadim	mess up
bagai	desire
bagarramap	destroy
bagarrap	destroyed
bagas	forget it
bagi	tobacco
bagidi	bucket
bagimbat	have intercourse
bagit	bucket
bagus	forget it
bai	by
baib	five
baibai	goodbye
baibul	Bible
baibul baibul	piebald
baibul brim	black bream
baibul sineik	rock snake
baibul sneik	not poisonous
baibulbuk	Bible
baidibaidi	insect
baidim	bite
baidimap	bite off
baijimbek	bring
baijinggul	bicycle
baik	bike
bailgurr	fall down
bailsineik	file snake
baimbai	later
baimbai yet	not yet
baindim	conceive
baitim	bite
baiyim	buy
bajam	earlier
bajdam	earlier
bajim	pass
bajimap	bring
bajimbek	bring
baju	wild potato
bak	bark
bak brom tri	bark of tree
bakit	billy
bako	vomit
balanda	European
balgin	bitter
baligal	Australian
baligan	Australian
baligin	pelican
balikan	pelican
bam	buttocks
bamarragotj	money
bambaba	popsicle
bambai	later
bambu	bamboo
bambum	bump
bamen	barman
bamit	vomit
ban	band
bandamis	pandanus palm
bandamis baskit	basket
bandigut	bandicoot
bandiyan	deadly
bandri	boundary
bandul	bundle
banga	about
bangk	bunk
banigin	billy
banijim	punish
banji	brother-in-law
banjim	hit
banjiman	in-laws
banjimen	in-law
bank	bed
banksia	banksia
banyip	monster
barawu	boat
bardigindak	burdekin duck
barlbarl	pound
barlkiny	bitter
barn	burn out
barn garri fiba	burn
barnana	girlfriend
barnarra	plant species
barnbala	skinny
barnga	cousin
barngras	burnt grass
barngras kantri	grass
barnim	burn
barnim faiya	burn
barnimap	annoy
baro	borrow from
barradei	potato
barragarl	spear
barramandi	barramundi
barraniya	nearly
barrawu	boat
barrei	very good
barrik	paddock
barrolga	brolga
barruk	card game
bas	break up
basawei	die
basdam	early days
basdam buk	history book
basim	pass
baskit	basket
baskitbol	basketball
bastim	break
bastimap	break
bastindap	ruined
bat	but
bata	butter
batin	button
baudan	bow
bausheid	shelter
baut	boat
bawabe:d	great bowerbird
baya	fire
baya tri	firetree
bayam	buy
bayastik	firestick
bayawud	firewood
be:d	bird
be:dbe:d	bird
be:dibe:di	little bird
be:dnes	bird’s nest
bebak	paperbark
bebal	navel
bebi	baby
bebi rok kod	sleepy cod
bed	bad
bedfiling	bad feelings
bedfren	enemy
bedkol	cold
bedlak	bad luck
bednyus	bad news
bedsik	be very sick
beg	bag
bega	tobacco
begimap	bag
beibi	baby
beibi imiyu	emu
beibi nenigout	baby goat
beibidaga	baby food
beibikraitaim	early morning
beibitaim	infancy
beibiwan	infantile
beibiwei	childishly
beig	bag
beigim	bake
beikim	knead
beikin	baking
beikinpauda	baking powder
beingk bla riba	bank of river
beingksaid	bank
beingkwei	bank
beit	bait
beja	feather
bek	back
bekat	back out
bekbon	back
bekbongija	back-to-back
bekimap	backup
beko	backhoe
bekpat	back
bekpat bla ni	back of knee
bekwedswei	backwards
bel	bell
beldim	belt
beldri	corkwood
beli	abdomen
belt	belt
bempaiya	vampire
bendibendi	snake species
bendigut	bandicoot
bendij	bandage
bendijimap	bandage
bendim	bend
bendiwan	bent
bengk roba	bank robber
bengsiya	banksia
beptais	baptise
beptaisim	baptise
berd	bird
berdiberdi	bird
bern	burn
bernam	burn
bernamap	burn
bernap	be burnt
bernapwan	burnt
berndap	burn
bernim	burn
bernimap	burn
berrim	bury
berrimap	bury
berrit	be
bes	best
bet	bat
bethdei	birthday
betlin	battle
betri	battery
bewabe:d	bowerbird
bewulf	werewolf
beya	bear
bi	be
bi:k	beak
biNga	hand
bib	beef
biba	fever
bibi	breast
bibim	hit
bibj	beach
bida	bitter
bidabat	feed on
bidim	beat
bidrum	spread out
bif	beef
bifo	before
bifwud	beefwood
big	big
big pipul	adults
bigadam	forget
bigbala	boss
bigbala bi	bee
bigbala hil	mountain
bigbigwan	big
biges frog	big
