kriol	english
dijlot	these
ink	ink
kripul	cripple
laitti	weak tea
mub	move
olgamen	old woman
olgamen	woman
peibek	pay back
si	look
si	sea
si	see
si	understand
skelp	scalp
ten	ten
wilsten	wheel stand
biliken	billycan
drangkinmen	drunk
bogibain	echidna
emiyu	emu
motha	mother
baligan	pelican
baligan	Australian
jinek	snake
%baidibaidi	louse
%bamaragoC	stone
%biNga	hand
%bij	fish
%dot	louse
%iriwol	ear
%wanbala	one
-abat	about
-am	him
-am	them
-an	on
-ap	toward
-ap	up
-aran	around
-aran	round
-at	attain
-at	out
-awei	away
-baga	bugger
-baga	person
-bala	fellow
-bat	about
-bek	back
-bek	reciprocate
-bek	retaliate
-bek	reverse
-dan	cease
-dan	down
-dan	end
-dan	terminate
-em	him
-em	them
ekskyus	make excuses
enimo	anymore
fletinimap	flatten
-gija	each other
-gija	together
-i	him
-i	it
-i	them
-im	him
-im	them
-in	in
-in	inside
-is	very
-it	it
kadjak	have intercourse
leda	ladder
leda	letter
leda	paper
-labat	about
oda	ought to
oda	should
-oba	over
-of	off
-on	on
-op	off
-pat	part
sokis	soak
sokis	spring
-ran	around
-ran	round
-taim	during
-taim	time
-um	him
-um	them
-wan	one
-wei	away
-wei	way
5u	new
Debi	derby
Disemba	December
Eiprul	April
En	hand
Eram	hear
Ereb	Arab
Februweri	February
Fitrai	fitzroy
Fraidei	Friday
God	god
God	God
Gotjan	subsection
Gotjjan	subsection
Holden	holden
Honda	motorbike
Indien	Indian
Inglis	English
Intan	American Indian
Ista	Easter
Ista eig	Easter egg
Itang	American Indian
Jedidi	Saturday
Jenyuweri	January
Julai	July
Jun	June
Krismas	Christmas
Krismas	year
Krismastaim	Christmas
Kristjan	Christian
Kristjanmob	Christians
Lenroba	landrover
Mandei	Monday
Matj	march
Meriken	American
Mei	May
Ngabu	god
Nigro	Negro
Nobemba	November
Noth	north
Nyubrij	Newbridge
Ogis	August
Oktoba	October
Oma	Arab
Redai	redeye
Redres Gel	devil
Romanoj	Roman nose
Sadadei	Saturday
Sandei	Sunday
Satadei	Saturday
Sebin Sista	Pleiades
Seitin	Satan
Senta Klos	Santa Claus
Septemba	September
Tasen	Tarzan
Thesdei	Thursday
Tyusdei	Tuesday
Wensdei	Wednesday
Yulngumatha	language name
a	a
abat	about
abat	belong to
abat	for
abat	of
abset	be anxious
abset	be upset
abum	birth
abum	eat
abum	have
abum	mate
abum	possess
abum	look after
abum	mind
abum set	bear a grudge
abwei	part of
ad	hard
ad	harsh
ad	loud
ad	particular
ad	strict
adli	hardly
adrok	rock
adtaim	hard time
afta	after
agumen	argue
agyumen	argue
agyumen	fight
ai	eye
ai	I
ai	stone
ai	etc.
ai	face
ai	point
ai	seed
aidiya	idea
ailibala	early
ailibala	very
aiyan	iron
aiyanwan	iron
akros	across
aleiluya	hallelujah
alidei	holiday
alo	hello
alo	hullo
alolog	hollow log
ambag	be cheeky
amben	armband
ami	army
andanith	under
andanith	underneath
anding	hunt
andrid	hundred
anga	goodness
anginap	above
anginap	hanging
anginap	be on top
anginap	hang up
anginap	be above
anginap	hang down
anginap	stuck
anginap	to be
anloudim	unload
ap	up
apset	be upset
apstes	upstairs
ard	hard
arinj	orange
as	us
as	we
askim	ask
athasaid	other side
atjamp	be frightened
atjamp	be startled
atsaid	outside
audim	out
av	about
av	belong to
av	for
av	of
awa	hour
awus	building
awus	house
ba	about
ba	bar
ba	belong to
ba	for
ba	of
baba	baby
baba	brother
baba	sibling
baba	sister
babbab	puppy
babim	pop
babolo	buffalo
babul	bubble
babulap	bubble up
babulgam	bubble gum
bad	banned
bada	butter
badadimap	ruin
badadimap	spoil
badaflai	butterfly
badaflai	moth
badlim	paddle
